id,text,rating,author,date,source
115736401897_10,"Заведение удачно расположилось  в уютном закутке Страстного бульвара. На входе встречает непринужденный хостес и направляет спуститься в сам ресторан, где заботливый персонал посадит за подходящий вакантный столик. P.s если очень хорошо об этом попросить. К вечеру субботы довольно таки оживленно было во всех зонах, где можно было расположиться. Сама посадка разнообразна, что делает данное место нестандартным и по своему уникальным. Официанты стараются расположить к себе. Чуткое отношение к посетителям прослеживается, хотя посадка очень плотная, но видно, что ребята полностью стараются отдаться своему делу. Про блюда писать на буду, скажу, что явно там не в последний раз, дабы самобытная обстановка вместе с добротной едой, оставляют неподдельные эмоции и желание вернуться вновь.",5,ruslana.,2025-07-07,Yandex
115736401897_11,"Приветствую людей, которые любят читать отзывы - он для вас.
Место известное, поэтому отзыв сделаю подробный и честный.
Стол забронировали онлайн, в этот же день - удобно, подтверждение приходит через смс. Без депозита стол бронируется в любом месте, где стол будет свободный - тут как повезет. Нам повезло, столы были в 21:00. Сидели внизу, рядом с барной стойкой. Людей много.
Интерьер - отличная концепция, стильно, можно сесть на улице. 
На входе встретили, подсказали что и как.
Сразу о минусе - дико громко играет музыка, приходится громко разговаривать и ухо подставлять… видимо проблема известная, отзывы не врут) 
Официант - девушка, надменная. Никакой субординации, как будто я «должен». Имени не запомнил. Меню знает, подсказала по коктейлям. Но отношение к людям надменное. 
Еда - выбор хороший, можно найти для себя. Битые огурцы смех. Не рекомендую. Неаккуратные, 4 палочки огурцов… 
Птитим с томленой говядиной 5/5. Вопросов нет, вкусно. Говядина тает во рту. Попкорн из креветок рекомендую, это вкусно. Отличная смесь соусов, креветки «уплывают» во рту. Миньон с вешенками - отлично. Прожарку смотрят при тебе - не устраивает, то говорите. Мясо изумительное.
Напитки - маленький выбор пива(придирка), пива от галок не было. 
Коктейли интересные, вкусные, но за такую цену вообще не удивили. Маленькие, где-то слегка крепкие. Льда пол стакана. На любителя. 
Цены - нормальные, но ценовую политику коктейлей, хотелось бы узнать
В общем и целом хорошо, но странно, почему такой ажиотаж. Камерное, стильно место, но не более.",4,СемёнГладков,2025-06-13,Yandex
115736401897_12,"классное место, давно сюда хотела пойти, но останавливали противоречивые отзывы. 

пришли втроем вечером в воскресенье. нам предложили несколько вариантов посадки, выбрали большой общий стол, за которым никого не было. 

камерная атмосфера, интересное меню — чем больше цифра блюда, тем оно «старше». как я поняла, раз в какое-то время ресторан проводит дегустацию новых блюд и вводит новые в меню с помощью голосов посетителей. 

общение с официантом ощущалось, как некая игра, он очень интересно рассказывал обо всем, был включен, поддерживал диалог

лимонад с бананом понравился, но не хватило газиков. лепешка с сырным соусом была вкусной. понравились также щечки с картофелем, но мы не поняли, почему у нас с подругой была половинка маринованного огуоца, а у молодого человека целый. официант уточнил у поваров, что по граммам они были одинаковыми, но мы не были согласны с этим, очевидно было, что они разные по весу. странновато… 

туалет чистый, есть крем, мыло, бумажные полотенца, но показалось, что на такое количество столиков нужно больше кабинок (их всего 2)

4/5, вернусь сюда ещё раз",4,Катерина,2025-09-06,Yandex
115736401897_13,"Очень необычное место 🤩
Вместо классического освещения - свечи, от которых помещение наполняется приятным запахом. На стенах огромные картины и сухие ветки, которые создают неповторимую атмосферу мистики и загадочности. Убранство внутри настолько гармонично, что складывается больше ощущение уюта и тепла, нежели мрачности.

Еда отменная! 
Заказывали пиццу с лососем - она уж точно вас порадует обилием рыбы и хрустом теста. Интересная позиция «сырный паштет» - крайне вкусная намазка на лепешку. Основное блюдо - дорадо с цукини под соусом унаги - просто божественно. Идеальная рыба без костей, нежная, с отличным сочетанием изящных ломтиков цукини. Ну и в качестве напитка лимонад - свежий, ароматный.

Сервис на высшем уровне.

Спасибо вам!",5,НеляСулейманова,2025-07-17,Yandex
115736401897_14,"В Галки попали по брони, что в подвале - нам нисколько не испортило впечатление. Внимательный, позитивный и ориентированный на клиента персонал помог переместится за тот столик, где было свежее и совсем не пахло благовониями (это же на любителя). Очень понравился попкорн из креветок и фирменное пиво ""Галки"" безалкогольное. Батат вкусный. А вот закуска Битые огурцы удивили очень маленькой порцией, буквально на дне тарелки (см.второе фото в отзыве). Тар-тар обычный, вкусный, но не шедевральный, как в отзывах читали. ""Щечки с толченкой"" - пресные, попросили соль и перец, стало лучше, но в следующий раз не возьмём. А вот Крем-брюле порция щедрая, очень  вкусные к нему сорбет и варенье. Спорный вопрос по обжиганию газовой горелкой Крем-брюле при клиенте. С одной стороны - это элемент шоу, а с другой - Крем-брюле, изрядно подогретый горелкой, не тот, честно говоря. Ждали, пока он остынет хоть немного, но всё равно десерт теплый и это для меня лично минус. Ставлю твердые 5 звёзд за креатив, меню и доброе отношение к посетителям, что важнее всех нюансов. Мы обязательно вернёмся, хочется попробовать ещё несколько блюд, которые видели в меню и на столах посетителей. Спасибо, Галки! Пожалуйста, держите класс!",5,ИринаКузнецова,2025-07-18,Yandex
115736401897_15,"Начитавшись восторженных отзывов мы решили поужинать в этом необычном заведении! При бронировании на сайте, ресторан дарит 1000 р! Подтверждение пришло почти сразу с информацией о том что посадка на полтора часа и размещение за любым на тот момент свободным столом, будь то общий стол или чайные столики со стогом сена вместо стула!  Если вы хотите конкретный стол -депозит 4000р с человека. Такой информации на сайте не было прописано, а хотелось бы! Оказалось ресторан найти непросто, находится во дворе, вывески нет или мы не увидели, указателей не нашли! Подвальное, темное помещение! Мы были готовы к этому) По факту один основной большой зал и еще парочка комнат! Депозит мы не оформляли и нас посадили за стол в самой дальней комнате( назвать залом это помещение нельзя) Лавка с сидушками оказалась не  удобной! И сидеть было не комфортно! Девочки официантки вежливые и отлично знающие меню кухни и бара! Могут посоветовать. По меню все вкусно, без потрясений. По подаче ребята стараются креативить, но просто вкусно и не более! Ожидали большего, прочитав много отзывов! Это был интересный опыт, но абсолютно не наш формат!",4,BeHappy,2025-06-22,Yandex
115736401897_16,"Ресторан «Галки» — это особое место, где уникальная атмосфера, смелый дизайн и первоклассная кухня идут рука об руку.

Первое впечатление производит сам интерьер заведения: подвальные своды украшены яркими граффити, привносящими дух свободы и творчества. Такой подход делает «Галки» привлекательным вариантом для тех, кто устал от стандартных заведений и хочет окунуться в мир настоящего вдохновения.

Еда в ресторане заслуживает отдельного разговора. Повара творчески подходят к процессу приготовления, следуя современным тенденциям, а результатом становятся настоящие произведения кулинарного искусства. Любителей вина порадует богатый выбор благородных напитков, подобранных с особой тщательностью. Команда официантов дружелюбна и профессиональна, готова подсказать лучшие сочетания блюд и напитков.

Расположение ресторана в самом центре города добавляет дополнительный плюс: удобно добраться, а значит, идеален вариант для встречи с друзьями или для романтического свидания.

Подведу итог: если хотите получить удовольствие не только от вкусной еды, но и от атмосферы, то ресторан «Галки» станет вашим любимым местом.

Советую посетить!",5,ЛыткинМихаил,2025-07-21,Yandex
115736401897_17,"Вся еда конечно здесь высший пилотаж. Буквально каждое блюдо взрыв вкуса. Пробовали ребрышки барбекю, козлятину, карпаччо, тартар из говядины с мозговой костью и татаки вроде. Это одно из тех мест где стоит побывать ради вкусных блюд. Еще очень понравилась подача официантов. Они на по стойке смирно стоят принимая заказ, а очень тепло и доброжелательно общаются, буквально как друзья. Могут и порекомендовать блюда и рассказать историю создания блюд и даже посуды. Но вот сам зал не особо впечатлил. Тесно, темно, неудобные стулья. Места у окна вообще комфортом не отличаются. Как есть в такой неудобной позе такие шедевры? В туалетной комнате темно, макияж не поправить. Да даже сумочку некуда поставить. Это конечно не очень. Но ради таких блюд наверное стоит вернуться. Плюс очень хорошая локация. Можно погулять потом.",5,ТатьянаМедведева,2025-11-05,Yandex
115736401897_18,"Недавно я решила посетить ресторан-кафе-бар который давно привлекал меня своим необычным названием и обещанием уютной атмосферы. Интерьер выполнен в современном стиле с элементами уюта – мягкие диваны, деревянные столы, приглушённое освещение и аккуратная декоративная подсветка. Есть как небольшие столики для двоих, так и просторные уголки для компаний, что делает заведение универсальным для разных типов визита, будь то вечер с друзьями, семейный ужин или просто кофе в одиночку. Меню заслуживает отдельного внимания. Оно достаточно разнообразное – представлены и лёгкие закуски, и более сытные блюда, и десерты. Я выбрала салат с курицей и лёгкий десерт, и оба блюда приятно удивили. Салат был свежим, с хорошо прожаренной курицей и сочными овощами, а заправка подобрана идеально, не перебивала вкусовую гармонию. Десерт тоже впечатлил - свежие ингредиенты и аккуратная подача делают его не только вкусным, но и визуально привлекательным. Кроме того, меню напитков приятно разнообразно: есть классический кофе, чай, свежие соки и авторские коктейли, которые подаются красиво и эстетично.",5,ВикторияНечаева,2025-10-22,Yandex
115736401897_19,"Каждый раз, когда я приезжаю на Чеховскую, стараюсь обязательно заглянуть к вам в заведение. Это одно из моих самых любимых мест в городе. Непередаваемая атмосфера, мягкий свет свечей, завораживающая музыка — все это создает уникальный уют. Ваши интересные блюда и их оригинальная подача вдохновляют и радуют. В вашем заведении действительно можно отдохнуть и отвлечься от повседневных забот. В воздухе витает аромат благовоний, который наполняет пространство особой гармонией. Сервис всегда на высоте — внимательный и дружелюбный, что делает каждое посещение еще более приятным.
Из небольших минусов могу отметить, что иногда приходится подождать 10-15 минут, если не забронировал столик, ведь у вас почти всегда полная посадка. Но это лишь подтверждает, насколько ваше заведение популярно и любимо. Я безумно рада, что однажды зашла к вам и влюбилась в ваш ресторан!",5,КРАСНАЯП.,2025-05-23,Yandex
115736401897_20,"Это кафе стало моим любимым местом для утренних завтраков и не только. Здесь царит особая атмосфера уюта и спокойствия, которая помогает начать день с хорошим настроением. Меню предлагает разнообразные блюда и напитки, все всегда свежие и вкусные. Особенно нравится их кофе — насыщенный вкус и приятный аромат делают каждую чашку особенной. Персонал очень дружелюбный и внимательный к гостям, что создает ощущение домашнего тепла. В интерьере много светлых тонов, есть уютные уголки для отдыха или работы. Цены вполне приемлемые, а качество обслуживания на высоте. Это место идеально подходит для тихого отдыха или деловых встреч.",5,СимоноваД.,2025-06-20,Yandex
115736401897_21,"Ресторан находится в подвальном помещении. Полумрак, свечи, громкая музыка. Кормят вкусно и разнообразно, подача иниересная. В меню указаны основные ингредиенты блюд, а не их названия, что оригинально. Огромная барная карта. Есть даже отдельный бар с какими-то уникальными коктейлями. Сами не пробовали.
Попали в завал по народу, пришлось подождать свой столик. За это в качестве комплимента получили по бокалу сидра.
Отдельно хочу выделить замечательный персонал.",5,Елена,2025-08-02,Yandex
115736401897_22,"Атмосферное место со вкусной едой и напитками. Здесь приятно провести время как с друзьями, так и в одиночестве за барной стойкой скоротать время при необходимости.  Первый раз это место найти не просто, особенно вечером) Но когда спускаешься вниз в полумраке, и садишься за столик или барную стойку, ощущаешь особый вайб, чувствуешь себя своим в своем месте и наслаждаешься едой, вином, коктейлем и разговорами). Видеть людей самого разного возраста, разделять их эмоции, например, когда кого-то поздравляют с праздником). Чудесное место для поднятия настроения!",5,ЕленаР,2025-11-08,Yandex
115736401897_23,"Посетили ресторан вечером в праздники. Забронировали столик заранее. Интересное место, ни сразу нашли в переулке. Из плюсов: кухня очень вкусная, красивая подача, быстро, что важно. Десерт золото рекомендуем, рыба треска и дорада нежнейшие, прекрасный батат, пицца необычная с апельсинками. 
Минусы: уставшие официанты,   заказали баклажаны, то ли не услышали то ли забыли, но в счёт не включили, поэтому претензий нет. Попросили трубочки к коктейлю, отказали, очень странная концепция, если нет пластмассовых держите бумажные, большой объем жидкости элементарно удобно пить через трубочку при это не оставляя следов на губах, для дам это важно. При входе очень мало места, снимая одежду не куда поставить сумку, можно задеть кого то. Свободные плечики и место на вешалке посетители ищут сами.
Общий вывод кухню стоит попробовать. Минус за сервис, но он не испортил впечатление, надеюсь это руководству к действию управляющих.",4,АнастасияЧугунова,2025-11-04,Yandex
115736401897_24,"Прекрасный ресторан, гиперзаботливые официанты, оригинальное меню и , главное, вкусная еда. Посетителей много, поэтому столики лучше бронировать заранее. Атмосфера полнится церковным запахом, что придает особый мистический вайп этому месту. Такие потрясающие свечи я не видела нигде. Из минусов-очень громкая музыка. Поговорить по душам-не сюда",5,КошелеваАнна,2025-05-27,Yandex
115736401897_25,"Это волшебное место открыли для меня подруги! Такого индивидуального подхода давно не встречала, от подбора коктейлей до выбора блюд! Официант с каждой обсудил вкусовые пристрастия и все остались довольны своим выбором! Гребешки это очень вкусно, ну а осьминог просто чудо, гастрономический оргазм был получен🫠Благодарю весь коллектив данного заведения за прекрасный вечер!",5,Oscorpik777,2025-09-05,Yandex
115736401897_26,"Очень небольшой и колоритный ресторан, со своей историей. Кухня отличная, бар тоже! Цены умеренные, но будьте готовы, что вечерами будет очень много посетителей и легкий гул вокруг, ресторан догфрендли и всегда найдут место для вашего друга, дадут емк свежую водичку, вкусняшку и даже лежаночку ) очень мило и  приятно!",5,KseniyaNikolaeva,2025-07-07,Yandex
