id,text,rating,author,date,source
twogis_022,"Вкусная кухня, коктейли и настойки. Отличный концептуальный ресторан.",3,КонстантинК.,2025-10-02,2GIS
twogis_023,"Для ресторана тут очень шумно, даже днем. Это скорее бар, с хорошей для бара кухней. Напитки были вкусные, пицца неплохая, но не вау. Сотрудники все очень милые.",3,РитаК,2025-05-08,2GIS
twogis_024,"Неприветливый персонал. Девушка хостес высокая с темными волосами даже не поздоровалась и сразу ушла с кем-то другим из гостей. Я стояла ещё минуту на входе, пока не подошла другая девушка. Пока мы с ней разбирались с бронью, первая хостес вернулась, встала прямо между нами и начала копошиться в планшете. Мне пришлось её обойти, чтобы продолжить разговор. В зале были свободные столики, но нас с подругой посадили за подоконник. Впечатление сразу было испорчено. Мы еле еле дозвались официанта, чтобы рассчитаться и довольно быстро ушли. Возвращаться не планирую.",3,АленаШ,2025-04-23,2GIS
twogis_025,Отличное место. Птитим с томленой говядиной - это вкусно. Официант - красавчик. Атмосфера - огонь,3,ПетрВасильев,2025-04-23,2GIS
twogis_026,"Не сразу нашли, ходили вокруг да около, прежде, чем обнаружили синий домик. Ресторан не разочаровал. Уютная, стилизованная под птичье гнездо обстановка и вкусные блюда. Понравилось всё! Том ям, свиные ребра, пицца, десерт и очень необычный вкус чая. Обязательно будем рекомендовать друзьям и придем снова!",3,ОльгаЗ.,2025-10-02,2GIS
twogis_027,"были с молодым человеком, праздновали мой день рождения. удалось с утра на вечер забронировать столик, хотя хостес сказала, что обычно бронь на три дня вперед. лучшее место в москве! вкусная еда, красивая коктейльная карта, официанты все лучшие!! нет закрепленного за столиком официанта, они бегают мимо часто, но любой всегда останавливается, объясняет по меню, помогает с выбором, рассказывает истории о создании места или коктейля. заказ некоторых коктейлей вообще искусство! не жалеют время на такие церемонии, делают все, чтобы пребывание там было особенным моментом в воспоминаниях. ребята, спасибо всей команде от души, поставила бы сто звезд, если бы можно было!!",3,эмилиямахмутова,2025-04-23,2GIS
twogis_028,"Вкусно, стильно, душевно! С большим удовольствием возвращаюсь сюда и рекомендую друзьям. Рекомендую «Кормилицу» и тыквенный суп",3,АйнурБекетов,2025-04-23,2GIS
twogis_029,"Плюсы:
- Вкусно, но не вау
Минусы:
- Тесно. Громкая музыка. Навязчивые официанты. Грязные туалеты
- Стоят три хостес на входе, ничего не делают.
- Чтобы переодеться, некуда вещи поставить, в руках всё держишь. Стоим толпимся на двух метрах
- При брони дают 1,5 часа",3,Алиса🪷,2025-03-24,2GIS
twogis_030,"Слишком тесно и людно, посторонние люди сидят ну очень близко, для интровертов это ад …..))) а в общем вкусно, атмосферно!",3,АнМ.,2025-03-22,2GIS
yandex_000,"Ресторан классный. Выбивается из ряда классических ресторанов.
Во-первых, находится в уютном, удобном месте. Обстановка шумная (приятная), люди вкусно едят, разговаривают, атмосфера настоящей вкусной, радостной жизни.
Кухня вкусная, сочетающая интересные вкусы. Очень понравились тар-тары: и из говядины, и из гребешка, и из угря - очень яркое сочетание вкусов. Для любителей тыквенных супов (я такая) в меню есть очень густой, нежный суп с добавлением краба. На десерт попробовала крем-брюле, мне не понравилась вареная сгущенка нижним слоем, для меня это очень сладко и очень навязчиво, интересная идея, но подойдет не всем, а вот лимонный сорбент отдельным дополнением- это супер вариация. Попробовали галкинские варёнки- что-то вкусно и интересно, но в целом слабенькие, находили  сильнее настойки/наливки. 

Однозначно и сердечно плюсую это место. Мне нравятся уютные, оригинальные, вкусные места.
Отдельно отмечу дружелюбный, ненавязчивый, приятный персонал.",5,AnnaChurakova,2025-05-02,Yandex
